source,asset,ip_address,fqdn,asset_type,cloud_provider,region,project_id,subnet,kev_count,max_cvss,severities,earliest_kev_due,ownership_gap
"Tenable","10.123.225.7","10.123.225.7","","","","","","","12","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.101.209.146","10.101.209.146","na1devstrje11.dev.tibco.com","","","","","TIBCO-str","9","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.101.194.152","10.101.194.152","eu1devkabdur01.dev.tibco.com","","","","","TIBCO-kab","7","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.101.194.153","10.101.194.153","eu1devkabtol02.dev.tibco.com","","","","","TIBCO-kab","6","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.101.207.152","10.101.207.152","na1devsperh801.dev.tibco.com","","","","","","6","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.101.214.120","10.101.214.120","na1devfocxbx03.dev.tibco.com","","","","","TIBCO-foc","6","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.101.207.105","10.101.207.105","na2devspwora02.dev.tibco.com","","","","","TIBCO-spw","5","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.101.204.152","10.101.204.152","na1devspejz301.dev.tibco.com","","","","","","4","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.5.34","10.219.5.34","035386-v213.eng.internal","","","","","","3","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.19.101.45","10.19.101.45","","","","","","","3","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.10.17","10.219.10.17","246245-v26.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.18.163","10.219.18.163","106713-v07.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.22.2","10.219.22.2","320426v02.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.19.227","10.219.19.227","047043-v209.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.101.201.102","10.101.201.102","eu1devpsggpp01.dev.tibco.com","","","","","TIBCO-psg","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.1.33","10.219.1.33","","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.10.104","10.219.10.104","321246-v04.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.19.101.228","10.19.101.228","","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.101.198.109","10.101.198.109","na1devmniaut09.dev.tibco.com","","","","","TIBCO-mni","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.19.101.223","10.19.101.223","","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.10.125","10.219.10.125","321246-v25.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.13.117","10.219.13.117","305368-v017.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.17.126","10.219.17.126","111480-v05.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.17.170","10.219.17.170","081321-v009.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.18.144","10.219.18.144","106713-v13.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.8.80","10.219.8.80","311104-v001.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.7.49","10.219.7.49","118264-v19.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.5.92","10.219.5.92","072594-v42.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.5.83","10.219.5.83","072594-v33.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.19.134","10.219.19.134","072594-v84.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.5.204","10.219.5.204","313829-v47.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.4.141","10.219.4.141","313175-v11.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.31.212","10.219.31.212","317950-v22.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.3.53","10.219.3.53","engl-1874-v03.eng.internal","","","","","","2","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.5.54","10.219.5.54","072594-v04.eng.internal","","","","","","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.8.127","10.219.8.127","037704-v27.eng.internal","","","","","","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.6.75","10.219.6.75","035386-vm181.eng.internal","","","","","","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.23.16","10.219.23.16","gn-lab-016.eng.internal","","","","","","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.23.20","10.219.23.20","gn-lab-020.eng.internal","","","","","","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.20.144","10.219.20.144","242006-v188.eng.internal","","","","","","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.0.240","10.219.0.240","037878-v044.eng.internal","","","","","","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.71.212.232","10.71.212.232","","","","","","XS-XRT-CORE-VM-GENERAL-812","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.71.212.234","10.71.212.234","","","","","","XS-XRT-CORE-VM-GENERAL-812","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.8.90","10.219.8.90","311104-v011.eng.internal","","","","","","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.19.224","10.219.19.224","047043-v206.eng.internal","","","","","","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.219.8.130","10.219.8.130","037704-v30.eng.internal","","","","","","1","","","2021-11-17T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.101.194.150","10.101.194.150","na2devkabsol01.dev.tibco.com","","","","","TIBCO-kab","2","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.85.10.54","10.85.10.54","bereportingdb.eng.internal","","","","","","2","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.60.4.55","10.60.4.55","","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.60.4.11","10.60.4.11","","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.60.4.31","10.60.4.31","","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.60.4.49","10.60.4.49","","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.102.168.68","10.102.168.68","","","","","","mahesh.bhaskarpandit@cloud.com_Vlan301","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.85.10.56","10.85.10.56","beteledash.eng.internal","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.85.10.78","10.85.10.78","crashping.eng.internal","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.85.2.17","10.85.2.17","","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.88.52.22","10.88.52.22","","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.88.52.26","10.88.52.26","","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.146.39.128","10.146.39.128","","","","","","BLR3_SDWAN  Automation_MGMT","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.210.203.99","10.210.203.99","punr740-06-c.eng.internal","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.210.203.97","10.210.203.97","punr740-04-c.eng.internal","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.210.203.96","10.210.203.96","punr740-03-c.eng.internal","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.210.203.95","10.210.203.95","punr740-02-c.eng.internal","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.210.201.238","10.210.201.238","punr740-11-c.eng.internal","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.210.201.169","10.210.201.169","punr740xd-37-c.eng.internal","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.210.200.127","10.210.200.127","dl740xdg10-29-c.eng.internal","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
"Tenable","10.210.200.122","10.210.200.122","dl740xdg10-24-c.eng.internal","","","","","","1","","","2021-12-15T08:00:00.000Z","No owner in phpIPAM, no BU tag in Tenable"
