source,asset,ip_address,fqdn,asset_type,cloud_provider,region,project_id,subnet,kev_count,max_cvss,severities,earliest_kev_due,ownership_gap
"Wiz","ctx-xa-1-e3bqnl","","","VIRTUAL_MACHINE","GCP","us-east1","013dd047-87d2-54a1-ba6b-30e0979c3540","","170","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","ctx-mgmt-e3bqnl","","","VIRTUAL_MACHINE","GCP","us-east1","013dd047-87d2-54a1-ba6b-30e0979c3540","","170","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","ipqa-sn1-41machine","","","VIRTUAL_MACHINE","GCP","asia-south1","116d4d62-7d4b-5b48-b3a6-97530b3ab7cb","","147","10.0","CRITICAL|HIGH|LOW|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","usw90cavdtsql0_as","","","VIRTUAL_MACHINE","Azure","westus2","083dfde4-70f5-579f-84dd-e76fe8882830","","121","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","ctx-cc-1-e3bqnl","","","VIRTUAL_MACHINE","GCP","us-east1","013dd047-87d2-54a1-ba6b-30e0979c3540","","111","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","ctx-dc-1-e3bqnl","","","VIRTUAL_MACHINE","GCP","us-east1","013dd047-87d2-54a1-ba6b-30e0979c3540","","111","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","pmorg-bastion","","","VIRTUAL_MACHINE","GCP","us-east1","013dd047-87d2-54a1-ba6b-30e0979c3540","","110","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","cva-test006","","","VIRTUAL_MACHINE","GCP","us-central1","027d5d35-9f0f-51af-92f6-5c0e1b8ed4a4","","108","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","cva-test005","","","VIRTUAL_MACHINE","GCP","us-central1","027d5d35-9f0f-51af-92f6-5c0e1b8ed4a4","","108","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","dns-test","","","VIRTUAL_MACHINE","GCP","us-central1","027d5d35-9f0f-51af-92f6-5c0e1b8ed4a4","","101","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","instance-1","","","VIRTUAL_MACHINE","GCP","us-central1","027d5d35-9f0f-51af-92f6-5c0e1b8ed4a4","","101","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","gcp-cc03","","","VIRTUAL_MACHINE","GCP","us-central1","027d5d35-9f0f-51af-92f6-5c0e1b8ed4a4","","100","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","gcp-fs01","","","VIRTUAL_MACHINE","GCP","us-central1","027d5d35-9f0f-51af-92f6-5c0e1b8ed4a4","","100","10.0","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","cvabuild2","","","VIRTUAL_MACHINE","GCP","us-central1","027d5d35-9f0f-51af-92f6-5c0e1b8ed4a4","","99","9.8","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","mm-gcp-ws2019-img","","","VIRTUAL_MACHINE","GCP","us-west1","013dd047-87d2-54a1-ba6b-30e0979c3540","","98","9.8","CRITICAL|HIGH|MEDIUM","2022-07-05T07:00:00.000Z","No owner tags in Wiz"
"Wiz","tpb-debug","","","VIRTUAL_MACHINE","GCP","us-east4","013dd047-87d2-54a1-ba6b-30e0979c3540","","98","8.8","CRITICAL|HIGH|MEDIUM","2021-11-17T08:00:00.000Z","No owner tags in Wiz"
"Wiz","kevme-pvssrv-1","","","VIRTUAL_MACHINE","GCP","us-east1","013dd047-87d2-54a1-ba6b-30e0979c3540","","94","9.8","CRITICAL|HIGH|MEDIUM","2022-05-04T07:00:00.000Z","No owner tags in Wiz"
